Entry,Gene names  (primary ),Ambig,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
P73355,NA,No,ATPnarrow_T,-0.6781465847706627,0.24509923615218437,-2.76682455407407,6,0.03255884741736348,0.111861960304192,NA,0,0
P73875,NA,No,ATPnarrow_T,-0.8576558269384965,0.6400827891820553,-1.339913900879091,6,0.2287863483060555,0.36372071162588077,NA,0,0
P73761,pyrF,No,ATPnarrow_T,0.6890922116015712,0.17620035310533078,3.9108446689073255,6,0.007884717633222849,0.05897787343750998,NA,0,0
P73601,NA,No,ATPnarrow_T,-0.4470727413867626,0.13864307437390525,-3.2246308977616596,6,0.018031817849258447,0.0873522496754171,NA,0,0
Q55386,NA,No,ATPnarrow_T,0.18739974098314766,0.12000144793636006,1.561645665163396,6,0.16939598474409423,0.3009855991906311,NA,0,0
Q55387,natB,No,ATPnarrow_T,0.14046483976345425,0.08101844358599043,1.7337390542977944,6,0.13366231322162836,0.25685490499301955,NA,0,0
P74416,gcvP,No,ATPnarrow_T,0.256534299918505,0.058639062504890045,4.374802204539201,6,0.0046945451517999,0.043131525482386954,NA,0,0
P74383,NA,No,ATPnarrow_T,-0.2563955963118367,0.12302321402594517,-2.0841237025214103,6,0.08226418382613132,0.18258646709316112,NA,0,0
Q55547,NA,No,ATPnarrow_T,0.0792796992122392,0.06629251048990165,1.1959073298983887,6,0.27684613343760867,0.41146306662868903,NA,0,0
Q55389,ftrC,No,ATPnarrow_T,-0.43599155827898745,0.2148330436492665,-2.0294436594715908,6,0.0887321320926242,0.19064414154628676,NA,0,0
P73747,cpcS1,No,ATPnarrow_T,-1.5158438405638783,0.49158896839846655,-3.0835595141654664,6,0.02156463432204303,0.09476312268503026,NA,0,0
Q55602,nifS,No,ATPnarrow_T,0.14378681677634256,0.10065896225439042,1.42845518725851,6,0.20308329622729726,0.33639765358941015,NA,0,0
P73921,NA,No,ATPnarrow_T,0.1883948230243719,0.146554048740149,1.2854972253848111,6,0.24600290503839695,0.3804894329434242,NA,0,0
P73742,NA,No,ATPnarrow_T,-1.1149986503711926,0.48706144728407913,-2.2892361047842664,6,0.06200898253377951,0.156086335936744,NA,0,0
P73274,leuS,No,ATPnarrow_T,0.2776681031722865,0.079867869446625,3.4765933421806086,6,0.01319720758943621,0.07614343929410668,NA,0,0
P73053,thyX,No,ATPnarrow_T,0.3034530293518567,0.09847947824059596,3.081383398584711,6,0.021624726278720807,0.09476312268503026,NA,0,0
Q55735,NA,No,ATPnarrow_T,0.15314090375775571,0.10591014049740509,1.4459512851038832,6,0.1983279412084462,0.33227209726113255,NA,0,0
P80507,ppa,No,ATPnarrow_T,0.06342426688132642,0.16748742851788184,0.37868076095367903,6,0.7179624804580522,0.7962715630998053,NA,0,0
P73145,NA,No,ATPnarrow_T,0.485956626211321,0.13434076873056,3.61734290195985,6,0.011132543320315547,0.07121695340357583,NA,0,0
P74503,NA,No,ATPnarrow_T,0.8243430830715931,0.0436085871288201,18.90322840858103,6,1.416121807817916e-6,1.6159523295877776e-4,NA,0,0
P72817,NA,No,ATPnarrow_T,0.1939120806763744,0.1348365924496534,1.4381265289597047,6,0.2004418482039685,0.3325586076017377,NA,0,0
Q55594,NA,No,ATPnarrow_T,0.4479988571755314,0.13716726724396416,3.266077003478721,6,0.017118057022420752,0.08534099301954423,NA,0,0
P74572,proC,No,ATPnarrow_T,0.17201637371397752,0.11465433703811506,1.5003041154631014,6,0.18420438409919648,0.31776563138902625,NA,0,0
P73222,NA,No,ATPnarrow_T,-0.005580528730749424,0.11651753021556766,-0.047894327320746985,6,0.9633548863135002,0.975705589984186,NA,0,0
P73643,NA,No,ATPnarrow_T,0.11716794325261623,0.0643465572711158,1.8208890766128238,6,0.11847430133292947,0.2335376342973485,NA,0,0
P74682,NA,No,ATPnarrow_T,0.7606763799570269,0.30595007757952536,2.4862761466674406,6,0.04740063933479122,0.13373751812316095,NA,0,0
Q55648,NA,No,ATPnarrow_T,0.3040559065628503,0.14668415028319462,2.072861355339531,6,0.0835559680582243,0.18413698064152825,NA,0,0
Q6ZEQ0,NA,No,ATPnarrow_T,0.40973962382628293,0.1485454568525908,2.758345037996607,6,0.032926031827717805,0.11271678229022063,NA,0,0
Q55199,pstS,No,ATPnarrow_T,0.5854544826735743,0.1799058986601854,3.254226165087604,6,0.017374042510273746,0.08619093188364978,NA,0,0
P73006,NA,No,ATPnarrow_T,0.37192241586213953,0.1295347578422634,2.8712171316600257,6,0.028381855981627124,0.10447371359545182,NA,0,0
P73606,NA,No,ATPnarrow_T,0.09493880907279778,0.05585830879863068,1.699636296097907,6,0.14010998655561835,0.2654851590269742,NA,0,0
P73609,NA,No,ATPnarrow_T,0.5449011307546106,0.16259253615403418,3.3513293023388924,6,0.015394001085982545,0.079048417417243,NA,0,0
Q55788,NA,No,ATPnarrow_T,-0.23243403919052102,0.08472518898209036,-2.743387674705029,6,0.03358459176089301,0.1145892881675652,NA,0,0
P73410,cysK,No,ATPnarrow_T,0.4855376544533576,0.138552631304404,3.504355347727881,6,0.012758607100634478,0.0757404016898937,NA,0,0
P74352,rpoZ,No,ATPnarrow_T,-0.8877281679897705,0.28885129050579234,-3.073305182176324,6,0.021849399914565026,0.09476312268503026,NA,0,0
P74314,NA,No,ATPnarrow_T,-0.35873536235223247,0.14492035522630745,-2.4753966535068987,6,0.04810449250875637,0.1349679671499899,NA,0,0
P73617,trpD,No,ATPnarrow_T,0.5338334214869092,0.1515076916042778,3.5234740615098676,6,0.01246592287292092,0.07529328375786962,NA,0,0
P73704,hofG,No,ATPnarrow_T,-1.2321339709109314,0.38821089573716316,-3.173877870097555,6,0.019224175321634895,0.09056526630880292,NA,0,0
Q55120,accB,No,ATPnarrow_T,0.18489281112586572,0.13566232501362657,1.362889889343222,6,0.221847403766275,0.3559957557311944,NA,0,0
P73287,bfr,No,ATPnarrow_T,0.7935486568398964,0.2033178717753395,3.9029950978276284,6,0.007956421724947038,0.05897787343750998,NA,0,0
P74456,frr,No,ATPnarrow_T,0.009145615014462784,0.04131237686589683,0.2213771200855898,6,0.8321406270758493,0.8828599421558856,NA,0,0
P72925,NA,No,ATPnarrow_T,-0.09572119298057441,0.08182263045622465,-1.1698620839595903,6,0.2864189915111601,0.41842433041530785,NA,0,0
Q55449,NA,No,ATPnarrow_T,-0.7446079180236747,0.24198343478862203,-3.0771028548880066,6,0.021743463153557796,0.09476312268503026,NA,0,0
P74500,NA,No,ATPnarrow_T,0.1721550642770808,0.0544220347394464,3.163333842648457,6,0.01948254667978766,0.09073478654495519,NA,0,0
P46445,petJ,No,ATPnarrow_T,0.3651711321164369,0.13651841456590744,2.674885533043911,6,0.03678610870272969,0.11823127946964473,NA,0,0
Q01950,apcC,No,ATPnarrow_T,-0.7435794940761811,0.3536159595638027,-2.102788276279757,6,0.08016804656605592,0.181559971588831,NA,0,0
Q55671,NA,No,ATPnarrow_T,0.16376533798796178,0.12360818910513856,1.3248745020337316,6,0.2334334734554755,0.3658869709452907,NA,0,0
P73163,NA,No,ATPnarrow_T,0.3264461034969834,0.12952562142667293,2.52032068946136,6,0.04526748194805941,0.13142991404504514,NA,0,0
Q55595,gloA,No,ATPnarrow_T,-0.3811600636759127,0.19559040159905658,-1.9487667112482232,6,0.09922848219641711,0.20422374993130338,NA,0,0
P73587,NA,No,ATPnarrow_T,-0.037643944051081714,0.047501137873395785,-0.7924851011235492,6,0.4582576456135383,0.5817436366441333,NA,0,0
P74002,NA,No,ATPnarrow_T,0.2927300469238896,0.12542995859848793,2.3338128322352687,6,0.058335585756853714,0.14903145913504667,NA,0,0
P74691,NA,No,ATPnarrow_T,0.36536213845893156,0.16358817437393944,2.2334263454995553,6,0.06694961354862516,0.16246429366195403,NA,0,0
Q55533,NA,No,ATPnarrow_T,-0.001151300655288855,0.09196133749323779,-0.012519398767699674,6,0.9904171236533514,0.9933187363203047,NA,0,0
P73305,rplR,No,ATPnarrow_T,-1.0739952959285588,0.3146313351565475,-3.413503920053555,6,0.014257084885698657,0.07706329567164484,NA,0,0
P74122,argJ,No,ATPnarrow_T,-0.20243699430136308,0.10281066948564384,-1.969027099173114,6,0.0964802470783801,0.2018028793268765,NA,0,0
P55175,NA,No,ATPnarrow_T,0.5271368487237195,0.10968061621137855,4.806107650852466,6,0.002982068856045572,0.03293101844256777,NA,0,0
P72704,NA,No,ATPnarrow_T,-0.7834291753069159,0.2674207797418872,-2.9295747924416218,6,0.026301613251516365,0.10162037112472255,NA,0,0
P72777,NA,No,ATPnarrow_T,0.36570547989876373,0.09288813892291696,3.9370525035736126,6,0.007650485289178999,0.058051369323085626,NA,0,0
P73150,NA,No,ATPnarrow_T,-0.10311217351861303,0.22547552025873274,-0.45730983745061105,6,0.6635393878457541,0.7503092655664637,NA,0,0
P74518,hpf,No,ATPnarrow_T,0.2287550650597207,0.08940754288434417,2.5585656162772947,6,0.042991647728514604,0.12835006458483866,NA,0,0
P52276,asnS,No,ATPnarrow_T,-0.27333014070109374,0.09028374718744521,-3.0274567595606268,6,0.023173613443674856,0.09478979213965343,NA,0,0
P17253,atpG,No,ATPnarrow_T,0.44069462392139996,0.11088459023171165,3.9743540829297905,6,0.007330379350953153,0.05728816318626228,NA,0,0
P73595,NA,No,ATPnarrow_T,-0.018440988016175542,0.04626801219759761,-0.3985688414150859,6,0.7040076592418156,0.7875989826158439,NA,0,0
P74447,NA,No,ATPnarrow_T,0.19004849569421095,0.15496485167833213,1.226397429068003,6,0.26599095873805223,0.398792284122598,NA,0,0
P73297,rpoA,No,ATPnarrow_T,-0.13608364398043465,0.12287316458056988,-1.1075131371846654,6,0.31048481406545325,0.4444267839800617,NA,0,0
P73092,cpcS2,No,ATPnarrow_T,-0.09369773053574186,0.08464487525290174,-1.1069510145273653,6,0.3107092803288065,0.4444267839800617,NA,0,0
