Entry,Gene names  (primary ),Ambig,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
Q55395,NA,No,ATPbroad_T,0.6446930194356951,0.2723134517622464,2.3674666648438976,6,0.05571305466211607,0.2319217856864832,NA,0,0
Q55421,NA,No,ATPbroad_T,0.04312206199988908,0.12976281407006984,0.3323144793746832,6,0.7509544083193695,0.8445288319738251,NA,0,0
Q55891,pcyA,No,ATPbroad_T,0.25983232505464937,0.12019571010552203,2.1617437496441245,6,0.07389885269766161,0.25937048299767507,NA,0,0
Q55548,NA,No,ATPbroad_T,-0.339925683215438,0.13449026855143267,-2.527511372210855,6,0.0448300460369222,0.20899587514045298,NA,0,0
P19050,ndhK1,No,ATPbroad_T,-0.17380471749425133,0.22668224996132436,-0.7667328056074316,6,0.47232045015611,0.6301517558604499,NA,0,0
P74158,suhB,No,ATPbroad_T,-0.3123656781766387,0.5572536632017554,-0.5605448627863855,6,0.5954032216735037,0.7350150115831529,NA,0,0
P74302,NA,No,ATPbroad_T,0.04102888258353262,0.1433591303119529,0.28619650868593294,6,0.7843523676287136,0.8675534941639943,NA,0,0
P74484,NA,No,ATPbroad_T,0.3231960209218032,0.14813437731641887,2.1817759440906017,6,0.07188509870550375,0.2576264283482351,NA,0,0
P73103,NA,No,ATPbroad_T,-0.039312534013986336,0.3058542505798854,-0.1285335545916122,6,0.9019268828704075,0.945043387514944,NA,0,0
P73757,nplT,No,ATPbroad_T,0.22379994600565412,0.1318819116638321,1.6969722623988173,6,0.14062619414464828,0.33788038593143677,NA,0,0
P73217,NA,No,ATPbroad_T,0.211122812728252,0.11738700029317173,1.798519531131871,6,0.12220270984179482,0.31875015631110154,NA,0,0
Q6YRW8,NA,Yes,ATPbroad_T,1.1817265073357326,0.20539524250027175,5.75342687080091,6,0.0012007097997575045,0.032239058123489,NA,0,0
P73166,NA,No,ATPbroad_T,-0.5212160353230786,0.4197897467586353,-1.2416121149875534,6,0.26071380893088314,0.4416508372109913,NA,0,0
